ダウンロードした時刻：2021/01/10 19:37:39

,,,長野,長野,長野
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,,品質情報,均質番号
1926,1,1,0.6,8,1
1926,1,2,3.3,8,1
1926,1,3,-4.4,8,1
1926,1,4,-6.5,8,1
1926,1,5,-4.3,8,1
1926,1,6,-2.6,8,1
1926,1,7,-5.3,8,1
1926,1,8,-7.0,8,1
1926,1,9,-2.2,8,1
1926,1,10,-2.2,8,1
1926,1,11,-3.1,8,1
1926,1,12,-3.9,8,1
1926,1,13,1.9,8,1
1926,1,14,2.1,8,1
1926,1,15,-0.3,8,1
1926,1,16,-4.0,8,1
1926,1,17,-2.6,8,1
1926,1,18,-0.7,8,1
1926,1,19,3.7,8,1
1926,1,20,-1.5,8,1
1926,1,21,-4.4,8,1
1926,1,22,-5.1,8,1
1926,1,23,-5.2,8,1
1926,1,24,-5.8,8,1
1926,1,25,-8.0,8,1
1926,1,26,-5.5,8,1
1926,1,27,-5.4,8,1
1926,1,28,-3.1,8,1
1926,1,29,-4.0,8,1
1926,1,30,-3.3,8,1
1926,1,31,-0.6,8,1
1926,2,1,-3.6,8,1
1926,2,2,-1.4,8,1
1926,2,3,-1.9,8,1
1926,2,4,2.1,8,1
1926,2,5,-2.2,8,1
1926,2,6,-2.0,8,1
1926,2,7,-2.1,8,1
1926,2,8,0.8,8,1
1926,2,9,1.8,8,1
1926,2,10,3.4,8,1
1926,2,11,-1.0,8,1
1926,2,12,-3.2,8,1
1926,2,13,-2.1,8,1
1926,2,14,2.5,8,1
1926,2,15,1.3,8,1
1926,2,16,-4.9,8,1
1926,2,17,-2.8,8,1
1926,2,18,-1.4,8,1
1926,2,19,-0.7,8,1
1926,2,20,-1.4,8,1
1926,2,21,-1.2,8,1
1926,2,22,1.0,8,1
1926,2,23,3.9,8,1
1926,2,24,0.9,8,1
1926,2,25,-0.6,8,1
1926,2,26,0.1,8,1
1926,2,27,1.1,8,1
1926,2,28,0.8,8,1
1926,3,1,1.2,8,1
1926,3,2,3.0,8,1
1926,3,3,3.0,8,1
1926,3,4,0.8,8,1
1926,3,5,0.0,8,1
1926,3,6,1.1,8,1
1926,3,7,0.8,8,1
1926,3,8,-0.4,8,1
1926,3,9,0.7,8,1
1926,3,10,-0.2,8,1
1926,3,11,-0.2,8,1
1926,3,12,1.2,8,1
1926,3,13,2.5,8,1
1926,3,14,8.7,8,1
1926,3,15,4.3,8,1
1926,3,16,-1.0,8,1
1926,3,17,1.2,8,1
1926,3,18,-0.6,8,1
1926,3,19,-1.4,8,1
1926,3,20,-1.3,8,1
1926,3,21,0.9,8,1
1926,3,22,0.6,8,1
1926,3,23,1.4,8,1
1926,3,24,1.8,8,1
1926,3,25,3.6,8,1
1926,3,26,-2.0,8,1
1926,3,27,-1.8,8,1
1926,3,28,3.0,8,1
1926,3,29,6.5,8,1
1926,3,30,4.3,8,1
1926,3,31,4.3,8,1
1926,4,1,7.7,8,1
1926,4,2,9.1,8,1
1926,4,3,4.8,8,1
1926,4,4,2.5,8,1
1926,4,5,0.8,8,1
1926,4,6,4.2,8,1
1926,4,7,9.4,8,1
1926,4,8,12.2,8,1
1926,4,9,15.0,8,1
1926,4,10,4.3,8,1
1926,4,11,3.9,8,1
1926,4,12,3.7,8,1
1926,4,13,4.7,8,1
1926,4,14,1.6,8,1
1926,4,15,1.5,8,1
1926,4,16,8.5,8,1
1926,4,17,11.4,8,1
1926,4,18,10.0,8,1
1926,4,19,5.7,8,1
1926,4,20,10.5,8,1
1926,4,21,6.5,8,1
1926,4,22,4.9,8,1
1926,4,23,9.5,8,1
1926,4,24,13.8,8,1
1926,4,25,9.5,8,1
1926,4,26,2.8,8,1
