ダウンロードした時刻：2020/12/31 20:23:30

,,,長野,長野,長野
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,,品質情報,均質番号
1900,9,29,13.4,8,1
1900,9,30,14.5,8,1
1900,10,1,14.1,8,1
1900,10,2,17.4,8,1
1900,10,3,15.6,8,1
1900,10,4,14.4,8,1
1900,10,5,15.0,8,1
1900,10,6,15.8,8,1
1900,10,7,14.3,8,1
1900,10,8,14.4,8,1
1900,10,9,15.9,8,1
1900,10,10,17.8,8,1
1900,10,11,14.9,8,1
1900,10,12,13.9,8,1
1900,10,13,15.2,8,1
1900,10,14,13.3,8,1
1900,10,15,12.2,8,1
1900,10,16,9.3,8,1
1900,10,17,9.1,8,1
1900,10,18,9.2,8,1
1900,10,19,11.9,8,1
1900,10,20,14.0,8,1
1900,10,21,14.7,8,1
1900,10,22,11.1,8,1
1900,10,23,10.0,8,1
1900,10,24,10.3,8,1
1900,10,25,13.5,8,1
1900,10,26,11.7,8,1
1900,10,27,11.5,8,1
1900,10,28,11.7,8,1
1900,10,29,11.2,8,1
1900,10,30,14.7,8,1
1900,10,31,15.6,8,1
1901,6,1,18.0,8,1
1901,6,2,15.3,8,1
1901,6,3,14.8,8,1
1901,6,4,15.5,8,1
1901,6,5,16.1,8,1
1901,6,6,17.4,8,1
1901,6,7,17.3,8,1
1901,6,8,17.4,8,1
1901,6,9,17.9,8,1
1901,6,10,16.4,8,1
1901,6,11,18.5,8,1
1901,6,12,21.8,8,1
1901,6,13,21.9,8,1
1901,6,14,22.4,8,1
1901,6,15,18.3,8,1
1901,6,16,18.8,8,1
1901,6,17,17.6,8,1
1901,6,18,16.2,8,1
1901,6,19,19.0,8,1
1901,6,20,21.6,8,1
1901,6,21,21.8,8,1
1901,6,22,21.9,8,1
1901,6,23,22.5,8,1
1901,6,24,22.8,8,1
1901,6,25,20.3,8,1
1901,6,26,19.4,8,1
1901,6,27,20.9,8,1
1901,6,28,21.4,8,1
1901,6,29,21.0,8,1
1901,6,30,17.9,8,1
1901,7,1,17.8,8,1
1901,7,2,20.0,8,1
1901,7,3,21.0,8,1
1901,7,4,24.0,8,1
1901,7,5,22.9,8,1
1901,7,6,19.7,8,1
1901,7,7,17.8,8,1
1901,7,8,17.7,8,1
1901,7,9,18.4,8,1
1901,7,10,20.3,8,1
1901,7,11,20.0,8,1
1901,7,12,21.9,8,1
1901,7,13,19.6,8,1
1901,7,14,18.4,8,1
1901,7,15,19.7,8,1
1901,7,16,21.3,8,1
1901,7,17,20.0,8,1
1901,7,18,19.6,8,1
1901,7,19,20.4,8,1
1901,7,20,21.3,8,1
1901,7,21,21.3,8,1
1901,7,22,22.1,8,1
1901,7,23,23.0,8,1
1901,7,24,24.0,8,1
1901,7,25,24.6,8,1
1901,7,26,24.7,8,1
1901,7,27,25.5,8,1
1901,7,28,25.8,8,1
1901,7,29,25.7,8,1
1901,7,30,24.8,8,1
1901,7,31,23.8,8,1
1901,8,1,24.6,8,1
1901,8,2,26.3,8,1
1901,8,3,26.3,8,1
1901,8,4,26.0,8,1
1901,8,5,26.2,8,1
1901,8,6,24.1,8,1
1901,8,7,21.3,8,1
1901,8,8,19.7,8,1
1901,8,9,19.7,8,1
1901,8,10,20.2,8,1
1901,8,11,22.7,8,1
1901,8,12,23.9,8,1
1901,8,13,24.4,8,1
1901,8,14,25.3,8,1
1901,8,15,26.1,8,1
1901,8,16,26.8,8,1
1901,8,17,24.1,8,1
1901,8,18,24.4,8,1
1901,8,19,26.0,8,1
1901,8,20,24.5,8,1
1901,8,21,25.5,8,1
1901,8,22,22.4,8,1
1901,8,23,21.4,8,1
1901,8,24,23.5,8,1
1901,8,25,25.1,8,1
1901,8,26,24.0,8,1
1901,8,27,22.5,8,1
1901,8,28,22.2,8,1
1901,8,29,21.5,8,1
1901,8,30,21.1,8,1
1901,8,31,21.8,8,1
1901,9,1,22.8,8,1
1901,9,2,25.1,8,1
1901,9,3,23.9,8,1
1901,9,4,24.0,8,1
1901,9,5,24.2,8,1
1901,9,6,24.2,8,1
1901,9,7,24.1,8,1
1901,9,8,21.9,8,1
1901,9,9,20.8,8,1
1901,9,10,23.1,8,1
1901,9,11,22.4,8,1
1901,9,12,22.0,8,1
1901,9,13,20.9,8,1
1901,9,14,19.4,8,1
1901,9,15,17.8,8,1
1901,9,16,17.0,8,1
1901,9,17,15.6,8,1
1901,9,18,15.2,8,1
1901,9,19,18.0,8,1
1901,9,20,19.3,8,1
1901,9,21,20.1,8,1
1901,9,22,17.5,8,1
1901,9,23,19.1,8,1
1901,9,24,20.3,8,1
1901,9,25,20.6,8,1
1901,9,26,14.0,8,1
1901,9,27,14.0,8,1
1901,9,28,15.2,8,1
1901,9,29,13.9,8,1
1901,9,30,14.4,8,1
1901,10,1,15.1,8,1
1901,10,2,16.2,8,1
1901,10,3,18.4,8,1
1901,10,4,19.2,8,1
1901,10,5,18.3,8,1
1901,10,6,17.5,8,1
1901,10,7,19.4,8,1
1901,10,8,18.9,8,1
1901,10,9,18.5,8,1
1901,10,10,16.2,8,1
1901,10,11,16.2,8,1
1901,10,12,18.5,8,1
1901,10,13,21.1,8,1
1901,10,14,18.8,8,1
1901,10,15,15.0,8,1
1901,10,16,13.5,8,1
1901,10,17,9.8,8,1
1901,10,18,10.1,8,1
1901,10,19,13.7,8,1
1901,10,20,12.0,8,1
1901,10,21,10.9,8,1
1901,10,22,10.8,8,1
1901,10,23,14.1,8,1
1901,10,24,13.0,8,1
1901,10,25,10.9,8,1
1901,10,26,10.3,8,1
1901,10,27,13.4,8,1
1901,10,28,12.1,8,1
1901,10,29,10.4,8,1
1901,10,30,12.9,8,1
1901,10,31,8.7,8,1
1902,6,1,16.2,8,1
1902,6,2,13.6,8,1
1902,6,3,15.2,8,1
1902,6,4,19.2,8,1
1902,6,5,19.4,8,1
1902,6,6,16.3,8,1
1902,6,7,17.0,8,1
1902,6,8,16.8,8,1
1902,6,9,19.1,8,1
1902,6,10,20.7,8,1
1902,6,11,18.9,8,1
1902,6,12,19.2,8,1
1902,6,13,18.6,8,1
1902,6,14,17.0,8,1
1902,6,15,16.1,8,1
1902,6,16,16.8,8,1
1902,6,17,18.5,8,1
1902,6,18,19.4,8,1
1902,6,19,18.4,8,1
1902,6,20,18.3,8,1
1902,6,21,20.9,8,1
1902,6,22,22.0,8,1
1902,6,23,20.2,8,1
1902,6,24,20.7,8,1
1902,6,25,19.0,8,1
1902,6,26,18.0,8,1
1902,6,27,18.1,8,1
1902,6,28,18.0,8,1
1902,6,29,19.6,8,1
1902,6,30,19.9,8,1
1902,7,1,19.6,8,1
1902,7,2,18.2,8,1
1902,7,3,19.0,8,1
1902,7,4,19.0,8,1
1902,7,5,19.0,8,1
1902,7,6,20.7,8,1
1902,7,7,18.3,8,1
1902,7,8,19.5,8,1
1902,7,9,21.8,8,1
1902,7,10,19.3,8,1
1902,7,11,20.5,8,1
1902,7,12,20.7,8,1
1902,7,13,22.0,8,1
1902,7,14,20.6,8,1
1902,7,15,20.0,8,1
1902,7,16,19.1,8,1
1902,7,17,18.7,8,1
1902,7,18,20.7,8,1
1902,7,19,22.3,8,1
1902,7,20,18.6,8,1
1902,7,21,18.0,8,1
1902,7,22,20.2,8,1
1902,7,23,22.5,8,1
1902,7,24,25.1,8,1
1902,7,25,22.0,8,1
1902,7,26,22.6,8,1
1902,7,27,22.3,8,1
1902,7,28,22.7,8,1
1902,7,29,20.5,8,1
1902,7,30,23.4,8,1
1902,7,31,25.0,8,1
1902,8,1,22.6,8,1
1902,8,2,18.9,8,1
1902,8,3,19.5,8,1
1902,8,4,20.3,8,1
1902,8,5,20.7,8,1
1902,8,6,21.3,8,1
1902,8,7,22.1,8,1
1902,8,8,21.9,8,1
1902,8,9,24.3,8,1
1902,8,10,23.2,8,1
1902,8,11,18.0,8,1
1902,8,12,20.9,8,1
1902,8,13,21.9,8,1
1902,8,14,21.4,8,1
1902,8,15,22.1,8,1
1902,8,16,23.4,8,1
1902,8,17,23.6,8,1
1902,8,18,23.2,8,1
1902,8,19,23.2,8,1
1902,8,20,22.6,8,1
1902,8,21,23.1,8,1
1902,8,22,23.9,8,1
1902,8,23,22.3,8,1
1902,8,24,21.8,8,1
1902,8,25,21.9,8,1
1902,8,26,22.0,8,1
1902,8,27,23.5,8,1
1902,8,28,24.8,8,1
1902,8,29,25.1,8,1
1902,8,30,24.8,8,1
1902,8,31,22.4,8,1
1902,9,1,22.6,8,1
1902,9,2,24.1,8,1
1902,9,3,25.3,8,1
1902,9,4,25.7,8,1
1902,9,5,25.6,8,1
1902,9,6,26.1,8,1
1902,9,7,24.8,8,1
1902,9,8,27.6,8,1
1902,9,9,26.4,8,1
1902,9,10,23.3,8,1
1902,9,11,21.7,8,1
1902,9,12,19.3,8,1
1902,9,13,20.7,8,1
1902,9,14,20.1,8,1
1902,9,15,20.4,8,1
1902,9,16,21.0,8,1
1902,9,17,19.1,8,1
1902,9,18,17.2,8,1
1902,9,19,15.6,8,1
1902,9,20,14.8,8,1
1902,9,21,16.3,8,1
1902,9,22,17.4,8,1
1902,9,23,19.1,8,1
1902,9,24,18.0,8,1
1902,9,25,15.4,8,1
1902,9,26,14.6,8,1
1902,9,27,17.9,8,1
1902,9,28,21.3,8,1
1902,9,29,20.4,8,1
1902,9,30,16.8,8,1
1902,10,1,15.7,8,1
1902,10,2,16.0,8,1
1902,10,3,16.5,8,1
1902,10,4,16.5,8,1
1902,10,5,18.3,8,1
1902,10,6,16.3,8,1
1902,10,7,14.3,8,1
1902,10,8,13.9,8,1
1902,10,9,12.4,8,1
1902,10,10,11.0,8,1
1902,10,11,10.5,8,1
1902,10,12,10.7,8,1
1902,10,13,12.3,8,1
1902,10,14,15.0,8,1
1902,10,15,14.6,8,1
1902,10,16,13.6,8,1
1902,10,17,11.4,8,1
1902,10,18,11.6,8,1
1902,10,19,10.5,8,1
1902,10,20,11.7,8,1
1902,10,21,12.5,8,1
1902,10,22,12.1,8,1
1902,10,23,13.4,8,1
1902,10,24,18.0,8,1
1902,10,25,11.7,8,1
1902,10,26,13.5,8,1
1902,10,27,13.7,8,1
1902,10,28,12.0,8,1
1902,10,29,13.9,8,1
1902,10,30,9.8,8,1
1902,10,31,8.0,8,1
1903,6,1,17.5,8,1
1903,6,2,16.7,8,1
1903,6,3,19.0,8,1
1903,6,4,14.2,8,1
1903,6,5,16.5,8,1
1903,6,6,18.4,8,1
1903,6,7,20.4,8,1
1903,6,8,17.8,8,1
1903,6,9,19.9,8,1
1903,6,10,20.4,8,1
1903,6,11,18.9,8,1
1903,6,12,18.9,8,1
1903,6,13,17.2,8,1
1903,6,14,15.1,8,1
1903,6,15,15.2,8,1
1903,6,16,16.9,8,1
1903,6,17,20.1,8,1
1903,6,18,20.8,8,1
1903,6,19,22.2,8,1
1903,6,20,18.9,8,1
1903,6,21,17.1,8,1
1903,6,22,16.9,8,1
1903,6,23,19.4,8,1
1903,6,24,18.2,8,1
1903,6,25,16.0,8,1
1903,6,26,17.0,8,1
1903,6,27,17.1,8,1
1903,6,28,17.2,8,1
1903,6,29,17.0,8,1
1903,6,30,18.2,8,1
1903,7,1,18.6,8,1
1903,7,2,20.5,8,1
1903,7,3,17.3,8,1
1903,7,4,15.4,8,1
1903,7,5,15.4,8,1
1903,7,6,16.9,8,1
1903,7,7,17.5,8,1
1903,7,8,19.8,8,1
1903,7,9,17.7,8,1
1903,7,10,20.0,8,1
1903,7,11,21.5,8,1
1903,7,12,20.1,8,1
1903,7,13,22.6,8,1
1903,7,14,20.4,8,1
1903,7,15,23.1,8,1
1903,7,16,25.2,8,1
1903,7,17,25.2,8,1
1903,7,18,23.0,8,1
1903,7,19,22.7,8,1
1903,7,20,22.5,8,1
1903,7,21,23.0,8,1
1903,7,22,23.1,8,1
1903,7,23,20.7,8,1
1903,7,24,23.8,8,1
1903,7,25,23.3,8,1
1903,7,26,23.7,8,1
1903,7,27,25.5,8,1
1903,7,28,24.7,8,1
1903,7,29,24.1,8,1
1903,7,30,23.0,8,1
1903,7,31,22.3,8,1
1903,8,1,21.7,8,1
1903,8,2,22.9,8,1
1903,8,3,25.3,8,1
1903,8,4,25.3,8,1
1903,8,5,25.0,8,1
1903,8,6,25.3,8,1
1903,8,7,24.6,8,1
1903,8,8,25.3,8,1
1903,8,9,25.2,8,1
1903,8,10,25.1,8,1
1903,8,11,25.4,8,1
1903,8,12,26.2,8,1
1903,8,13,26.3,8,1
1903,8,14,25.2,8,1
1903,8,15,24.2,8,1
1903,8,16,21.2,8,1
1903,8,17,19.8,8,1
1903,8,18,22.8,8,1
1903,8,19,22.0,8,1
1903,8,20,20.4,8,1
1903,8,21,19.3,8,1
1903,8,22,21.1,8,1
1903,8,23,24.1,8,1
1903,8,24,23.7,8,1
1903,8,25,24.1,8,1
1903,8,26,22.7,8,1
1903,8,27,22.8,8,1
1903,8,28,24.0,8,1
1903,8,29,24.2,8,1
1903,8,30,23.2,8,1
1903,8,31,24.2,8,1
1903,9,1,25.5,8,1
1903,9,2,24.6,8,1
1903,9,3,25.7,8,1
1903,9,4,24.7,8,1
1903,9,5,25.0,8,1
1903,9,6,24.7,8,1
1903,9,7,25.7,8,1
1903,9,8,25.1,8,1
1903,9,9,23.1,8,1
1903,9,10,20.8,8,1
1903,9,11,19.7,8,1
1903,9,12,18.6,8,1
1903,9,13,19.9,8,1
1903,9,14,21.2,8,1
1903,9,15,20.4,8,1
1903,9,16,22.1,8,1
1903,9,17,23.7,8,1
1903,9,18,20.9,8,1
1903,9,19,18.6,8,1
1903,9,20,17.7,8,1
1903,9,21,17.6,8,1
1903,9,22,18.5,8,1
1903,9,23,16.4,8,1
1903,9,24,18.3,8,1
1903,9,25,16.4,8,1
1903,9,26,15.6,8,1
1903,9,27,19.2,8,1
1903,9,28,19.0,8,1
1903,9,29,18.5,8,1
1903,9,30,18.2,8,1
1903,10,1,16.9,8,1
1903,10,2,14.9,8,1
1903,10,3,14.8,8,1
1903,10,4,14.9,8,1
1903,10,5,14.1,8,1
1903,10,6,13.8,8,1
1903,10,7,15.7,8,1
1903,10,8,14.6,8,1
1903,10,9,12.6,8,1
1903,10,10,12.8,8,1
1903,10,11,15.1,8,1
1903,10,12,13.9,8,1
1903,10,13,14.6,8,1
1903,10,14,15.1,8,1
1903,10,15,15.6,8,1
1903,10,16,15.9,8,1
1903,10,17,15.8,8,1
1903,10,18,14.6,8,1
1903,10,19,14.0,8,1
1903,10,20,11.5,8,1
1903,10,21,12.1,8,1
1903,10,22,13.5,8,1
1903,10,23,12.6,8,1
1903,10,24,11.2,8,1
1903,10,25,10.3,8,1
1903,10,26,11.6,8,1
1903,10,27,10.2,8,1
1903,10,28,8.1,8,1
1903,10,29,5.2,8,1
1903,10,30,4.6,8,1
1903,10,31,9.4,8,1
1904,6,1,15.8,8,1
1904,6,2,17.7,8,1
1904,6,3,19.9,8,1
1904,6,4,20.0,8,1
1904,6,5,21.8,8,1
1904,6,6,20.8,8,1
1904,6,7,22.0,8,1
1904,6,8,18.9,8,1
1904,6,9,19.0,8,1
1904,6,10,18.6,8,1
1904,6,11,17.9,8,1
1904,6,12,18.5,8,1
1904,6,13,18.2,8,1
1904,6,14,19.1,8,1
1904,6,15,20.5,8,1
1904,6,16,19.8,8,1
1904,6,17,20.3,8,1
1904,6,18,19.4,8,1
1904,6,19,18.6,8,1
1904,6,20,17.4,8,1
1904,6,21,19.3,8,1
1904,6,22,19.8,8,1
1904,6,23,20.5,8,1
1904,6,24,19.6,8,1
1904,6,25,21.0,8,1
1904,6,26,22.3,8,1
1904,6,27,21.7,8,1
1904,6,28,21.9,8,1
1904,6,29,24.8,8,1
1904,6,30,25.7,8,1
1904,7,1,24.7,8,1
1904,7,2,23.8,8,1
1904,7,3,20.4,8,1
1904,7,4,24.7,8,1
1904,7,5,25.2,8,1
1904,7,6,25.2,8,1
1904,7,7,27.0,8,1
1904,7,8,26.1,8,1
1904,7,9,25.9,8,1
1904,7,10,24.2,8,1
1904,7,11,18.4,8,1
1904,7,12,20.1,8,1
1904,7,13,26.5,8,1
1904,7,14,23.5,8,1
1904,7,15,23.8,8,1
1904,7,16,24.9,8,1
1904,7,17,21.1,8,1
1904,7,18,20.6,8,1
1904,7,19,23.3,8,1
1904,7,20,25.0,8,1
1904,7,21,25.8,8,1
1904,7,22,25.6,8,1
1904,7,23,24.1,8,1
1904,7,24,24.2,8,1
1904,7,25,22.4,8,1
1904,7,26,24.0,8,1
1904,7,27,22.6,8,1
1904,7,28,23.8,8,1
1904,7,29,24.6,8,1
1904,7,30,24.3,8,1
1904,7,31,22.2,8,1
1904,8,1,23.2,8,1
1904,8,2,22.1,8,1
1904,8,3,22.1,8,1
1904,8,4,21.5,8,1
1904,8,5,23.4,8,1
1904,8,6,22.4,8,1
1904,8,7,23.1,8,1
1904,8,8,23.6,8,1
1904,8,9,26.0,8,1
1904,8,10,26.6,8,1
1904,8,11,24.8,8,1
1904,8,12,24.8,8,1
1904,8,13,24.3,8,1
1904,8,14,23.6,8,1
1904,8,15,24.7,8,1
1904,8,16,24.8,8,1
1904,8,17,26.1,8,1
1904,8,18,27.2,8,1
1904,8,19,26.8,8,1
1904,8,20,26.1,8,1
1904,8,21,28.0,8,1
1904,8,22,26.5,8,1
1904,8,23,25.6,8,1
1904,8,24,26.1,8,1
1904,8,25,25.9,8,1
1904,8,26,25.6,8,1
1904,8,27,24.1,8,1
1904,8,28,21.7,8,1
1904,8,29,21.4,8,1
1904,8,30,19.7,8,1
1904,8,31,22.4,8,1
1904,9,1,24.7,8,1
1904,9,2,23.6,8,1
1904,9,3,19.0,8,1
1904,9,4,19.0,8,1
1904,9,5,18.7,8,1
1904,9,6,18.2,8,1
1904,9,7,20.7,8,1
1904,9,8,20.6,8,1
1904,9,9,17.5,8,1
1904,9,10,18.2,8,1
1904,9,11,18.8,8,1
1904,9,12,20.9,8,1
1904,9,13,20.6,8,1
1904,9,14,20.7,8,1
1904,9,15,19.7,8,1
1904,9,16,18.7,8,1
1904,9,17,24.7,8,1
1904,9,18,21.1,8,1
1904,9,19,20.5,8,1
1904,9,20,20.4,8,1
1904,9,21,17.2,8,1
1904,9,22,16.2,8,1
1904,9,23,15.3,8,1
1904,9,24,13.7,8,1
1904,9,25,12.7,8,1
1904,9,26,13.5,8,1
1904,9,27,14.1,8,1
1904,9,28,14.4,8,1
1904,9,29,14.3,8,1
1904,9,30,14.9,8,1
1904,10,1,16.1,8,1
1904,10,2,14.7,8,1
1904,10,3,18.0,8,1
1904,10,4,18.0,8,1
1904,10,5,16.5,8,1
1904,10,6,15.6,8,1
1904,10,7,14.7,8,1
1904,10,8,15.0,8,1
1904,10,9,11.1,8,1
1904,10,10,10.6,8,1
1904,10,11,13.0,8,1
1904,10,12,13.2,8,1
1904,10,13,16.1,8,1
1904,10,14,15.3,8,1
1904,10,15,18.1,8,1
1904,10,16,16.1,8,1
1904,10,17,14.7,8,1
1904,10,18,15.5,8,1
1904,10,19,16.4,8,1
1904,10,20,16.2,8,1
1904,10,21,16.0,8,1
1904,10,22,10.8,8,1
1904,10,23,7.6,8,1
1904,10,24,9.6,8,1
1904,10,25,9.9,8,1
1904,10,26,7.6,8,1
1904,10,27,8.9,8,1
1904,10,28,9.2,8,1
1904,10,29,10.0,8,1
1904,10,30,4.3,8,1
1904,10,31,2.6,8,1
1905,6,1,20.5,8,1
1905,6,2,22.0,8,1
1905,6,3,20.7,8,1
1905,6,4,15.1,8,1
1905,6,5,18.9,8,1
1905,6,6,19.2,8,1
1905,6,7,15.3,8,1
1905,6,8,13.3,8,1
1905,6,9,17.3,8,1
1905,6,10,18.1,8,1
1905,6,11,19.7,8,1
1905,6,12,20.2,8,1
1905,6,13,21.7,8,1
1905,6,14,20.3,8,1
1905,6,15,19.0,8,1
1905,6,16,19.5,8,1
1905,6,17,19.8,8,1
1905,6,18,21.5,8,1
1905,6,19,18.4,8,1
1905,6,20,19.7,8,1
1905,6,21,20.2,8,1
1905,6,22,19.7,8,1
1905,6,23,21.6,8,1
1905,6,24,22.7,8,1
1905,6,25,21.0,8,1
1905,6,26,20.5,8,1
1905,6,27,20.4,8,1
1905,6,28,21.2,8,1
1905,6,29,19.8,8,1
1905,6,30,18.9,8,1
1905,7,1,20.1,8,1
1905,7,2,20.5,8,1
1905,7,3,21.4,8,1
1905,7,4,22.6,8,1
1905,7,5,19.6,8,1
1905,7,6,21.6,8,1
1905,7,7,23.1,8,1
1905,7,8,24.0,8,1
1905,7,9,25.0,8,1
1905,7,10,25.3,8,1
1905,7,11,26.0,8,1
1905,7,12,25.7,8,1
1905,7,13,23.4,8,1
1905,7,14,24.6,8,1
1905,7,15,24.0,8,1
1905,7,16,25.3,8,1
1905,7,17,26.2,8,1
1905,7,18,25.4,8,1
1905,7,19,25.2,8,1
1905,7,20,21.3,8,1
1905,7,21,21.1,8,1
1905,7,22,21.0,8,1
1905,7,23,21.7,8,1
1905,7,24,23.3,8,1
1905,7,25,24.0,8,1
1905,7,26,24.1,8,1
1905,7,27,25.1,8,1
1905,7,28,25.1,8,1
1905,7,29,25.4,8,1
1905,7,30,23.0,8,1
1905,7,31,20.9,8,1
1905,8,1,21.6,8,1
1905,8,2,22.2,8,1
1905,8,3,22.2,8,1
1905,8,4,19.8,8,1
1905,8,5,20.3,8,1
1905,8,6,21.2,8,1
1905,8,7,23.5,8,1
1905,8,8,21.1,8,1
1905,8,9,25.2,8,1
1905,8,10,24.1,8,1
1905,8,11,20.6,8,1
1905,8,12,23.2,8,1
1905,8,13,21.9,8,1
1905,8,14,19.6,8,1
1905,8,15,21.3,8,1
1905,8,16,22.3,8,1
1905,8,17,19.7,8,1
1905,8,18,20.2,8,1
1905,8,19,20.4,8,1
1905,8,20,19.9,8,1
1905,8,21,20.7,8,1
1905,8,22,19.6,8,1
1905,8,23,19.9,8,1
1905,8,24,21.4,8,1
1905,8,25,18.2,8,1
1905,8,26,18.1,8,1
1905,8,27,18.8,8,1
1905,8,28,20.5,8,1
1905,8,29,22.2,8,1
1905,8,30,22.0,8,1
1905,8,31,22.1,8,1
1905,9,1,23.6,8,1
1905,9,2,24.1,8,1
1905,9,3,24.7,8,1
1905,9,4,27.1,8,1
1905,9,5,24.5,8,1
1905,9,6,22.2,8,1
1905,9,7,21.4,8,1
1905,9,8,23.3,8,1
1905,9,9,21.8,8,1
1905,9,10,23.1,8,1
1905,9,11,23.7,8,1
1905,9,12,21.6,8,1
1905,9,13,19.1,8,1
1905,9,14,19.5,8,1
1905,9,15,21.5,8,1
1905,9,16,21.4,8,1
1905,9,17,17.7,8,1
1905,9,18,15.3,8,1
1905,9,19,15.6,8,1
1905,9,20,15.2,8,1
1905,9,21,15.7,8,1
1905,9,22,15.4,8,1
1905,9,23,15.9,8,1
1905,9,24,15.5,8,1
1905,9,25,16.3,8,1
1905,9,26,16.7,8,1
1905,9,27,20.9,8,1
1905,9,28,18.7,8,1
1905,9,29,15.6,8,1
1905,9,30,12.5,8,1
1905,10,1,12.8,8,1
1905,10,2,13.3,8,1
1905,10,3,11.0,8,1
1905,10,4,12.0,8,1
1905,10,5,15.2,8,1
1905,10,6,13.4,8,1
1905,10,7,14.2,8,1
1905,10,8,14.5,8,1
1905,10,9,16.3,8,1
1905,10,10,15.6,8,1
1905,10,11,15.7,8,1
1905,10,12,13.6,8,1
1905,10,13,13.1,8,1
1905,10,14,14.3,8,1
1905,10,15,14.8,8,1
1905,10,16,18.2,8,1
1905,10,17,16.7,8,1
1905,10,18,15.4,8,1
1905,10,19,16.3,8,1
1905,10,20,14.8,8,1
1905,10,21,11.6,8,1
1905,10,22,10.9,8,1
1905,10,23,11.4,8,1
1905,10,24,11.1,8,1
1905,10,25,11.1,8,1
1905,10,26,12.2,8,1
1905,10,27,9.9,8,1
1905,10,28,9.2,8,1
1905,10,29,11.6,8,1
1905,10,30,14.1,8,1
1905,10,31,9.2,8,1
1906,6,1,12.9,8,1
1906,6,2,16.3,8,1
1906,6,3,18.1,8,1
1906,6,4,17.8,8,1
